Sample,Name,Acc,16S,18S,18SName,Proper_name,Type,Source,TimeSeries,xKit,Rep,RepType,Polymerase16S,Polymerase18S,DNA.16S,DNA.18S,Run16S,Run18S,Primer16S,Station,Environment,Estuary,Tide,Date,Season,Year
D2-May19,D2 timepoint 51,ERS12471474,1,1,D2-May19,D2-May19,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202104,515..926,D2,Offshore,None,NA,2019-05-10,Sp,2019
D2-Jun19,D2 timepoint 52,ERS12471475,1,1,D2-Jun19,D2-Jun19,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202104,515..926,D2,Offshore,None,NA,2019-06-15,Su,2019
D2-Jul19_STR,D2 timepoint 53,ERS12471476,1,1,D2-Jul19_STR,D2-Jul19_STR,W,Sterivex,W,QiagenLyso,1,None,Taq,Taq,NA,NA,202104,202104,515..926,D2,Offshore,None,NA,2019-08-07,Su,2019
D2-Aug19,D2 timepoint 54,ERS12471477,1,1,D2-Aug19,D2-Aug19,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,D2,Offshore,None,NA,2019-08-14,Su,2019
D2-Sep19,D2 timepoint 55,ERS12471478,1,1,D2-Sep19,D2-Sep19,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,D2,Offshore,None,NA,2019-09-18,Su,2019
D2-Oct19,D2 timepoint 56,ERS12471479,1,1,D2-Oct19,D2-Oct19,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,D2,Offshore,None,NA,2019-10-23,Au,2019
D2-Nov19,D2 timepoint 57,ERS12471480,1,1,D2-Nov19,D2-Nov19,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,D2,Offshore,None,NA,2019-11-19,Au,2019
D2-Dec19,D2 timepoint 58,ERS12471481,1,1,D2-Dec19,D2-Dec19,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,D2,Offshore,None,NA,2019-12-04,Wi,2019
D2-Jan20,D2 timepoint 59,ERS12471482,1,1,D2-Jan20,D2-Jan20,W,Filter02uM,W,PowerWater,1,Filter,Taq,Taq,NA,NA,202104,202104,515..926,D2,Offshore,None,NA,2020-01-09,Wi,2020
D2-Feb20,D2 timepoint 60,ERS12471483,1,1,D2-Feb20,D2-Feb20,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,D2,Offshore,None,NA,2020-02-07,Wi,2020
D2-Apr20,D2 timepoint 62,ERS12471484,1,1,D2-Apr20,D2-Apr20,W,Filter02uM,W,PowerWater,1,Prefilter,Taq,Taq,NA,NA,202104,202104,515..926,D2,Offshore,None,NA,2020-04-23,Sp,2020
D2-May20,D2 timepoint 63,ERS12471485,1,1,D2-May20,D2-May20,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,D2,Offshore,None,NA,2020-05-15,Sp,2020
D2-Jun20,D2 timepoint 64,ERS12471486,1,1,D2-Jun20,D2-Jun20,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,D2,Offshore,None,NA,2020-06-11,Su,2020
D2-Jul20,D2 timepoint 65,ERS12471487,1,1,D2-Jul20,D2-Jul20,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,D2,Offshore,None,NA,2020-07-10,Su,2020
D2-Aug20,D2 timepoint 66,ERS12471488,1,1,D2-Aug20,D2-Aug20,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,D2,Offshore,None,NA,2020-08-07,Su,2020
D2-Sep20,D2 timepoint 67,ERS12471489,1,1,D2-Sep20,D2-Sep20,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,D2,Offshore,None,NA,2020-09-01,Su,2020
